Time,Queue Density
0,1
0.0666667,0.0741027
0.133333,0.0728135
0.2,0.0736902
0.266667,0.0773257
0.333333,0.0833849
0.4,0.0875103
0.466667,0.0940336
0.533333,0.0996287
0.6,0.100351
0.666667,0.102413
0.733333,0.104425
0.8,0.105095
0.866667,0.107054
0.933333,0.10855
1,0.108859
1.06667,0.109788
1.13333,0.11185
1.2,0.111463
1.26667,0.113784
1.33333,0.1135
1.4,0.114197
1.46667,0.114919
1.53333,0.116801
1.6,0.117548
1.66667,0.11974
1.73333,0.122086
1.8,0.12335
1.86667,0.125954
1.93333,0.127037
2,0.127862
2.06667,0.129254
2.13333,0.130363
2.2,0.130801
2.26667,0.13124
2.33333,0.130544
2.4,0.130904
2.46667,0.131523
2.53333,0.132477
2.6,0.133096
2.66667,0.132993
2.73333,0.134127
2.8,0.134849
2.86667,0.135778
2.93333,0.136113
3,0.138769
3.06667,0.138769
3.13333,0.138949
3.2,0.138923
3.26667,0.139748
3.33333,0.140058
3.4,0.141063
3.46667,0.14212
3.53333,0.143049
3.6,0.144183
3.66667,0.145988
3.73333,0.146375
3.8,0.146762
3.86667,0.14738
3.93333,0.147148
4,0.147406
4.06667,0.14836
4.13333,0.146297
4.2,0.14475
4.26667,0.143977
4.33333,0.142688
4.4,0.142765
4.46667,0.142301
4.53333,0.142301
4.6,0.142662
4.66667,0.141579
4.73333,0.143126
4.8,0.143796
4.86667,0.144776
4.93333,0.145395
5,0.145859
5.06667,0.146762
5.13333,0.146813
5.2,0.148334
5.26667,0.151248
5.33333,0.155141
5.4,0.158003
5.46667,0.159808
5.53333,0.164295
5.6,0.168136
5.66667,0.173835
5.73333,0.179378
5.8,0.182653
5.86667,0.190568
5.93333,0.19637
6,0.198613
6.06667,0.204646
6.13333,0.208024
6.2,0.208436
6.26667,0.208978
6.33333,0.210344
6.4,0.211634
6.46667,0.212459
6.53333,0.214057
6.6,0.214315
6.66667,0.214444
6.73333,0.214805
6.8,0.214393
