Time,Queue Density
0,1
0.0666667,0.073332
0.133333,0.0722502
0.2,0.0732769
0.266667,0.0768725
0.333333,0.0833202
0.4,0.0871007
0.466667,0.0939536
0.533333,0.0992014
0.6,0.100075
0.666667,0.102286
0.733333,0.104237
0.8,0.104937
0.866667,0.106747
0.933333,0.108434
1,0.108446
1.06667,0.109693
1.13333,0.110818
1.2,0.111495
1.26667,0.11286
1.33333,0.113308
1.4,0.11426
1.46667,0.114965
1.53333,0.116511
1.6,0.117439
1.66667,0.119713
1.73333,0.122325
1.8,0.123489
1.86667,0.125873
1.93333,0.12727
2,0.127518
2.06667,0.128643
2.13333,0.129933
2.2,0.130299
2.26667,0.130476
2.33333,0.130409
2.4,0.130968
2.46667,0.13133
2.53333,0.132396
2.6,0.133163
2.66667,0.133183
2.73333,0.13439
2.8,0.134874
2.86667,0.135889
2.93333,0.13679
3,0.138124
3.06667,0.138395
3.13333,0.13847
3.2,0.138729
3.26667,0.139477
3.33333,0.139705
3.4,0.140547
3.46667,0.141511
3.53333,0.142891
3.6,0.143934
3.66667,0.145641
3.73333,0.146566
3.8,0.147077
3.86667,0.147482
3.93333,0.147746
4,0.148108
4.06667,0.147939
4.13333,0.146318
4.2,0.144988
4.26667,0.144044
4.33333,0.142636
4.4,0.142695
4.46667,0.14253
4.53333,0.142596
4.6,0.142545
4.66667,0.141577
4.73333,0.142671
4.8,0.143765
4.86667,0.144823
4.93333,0.145755
5,0.145484
5.06667,0.146668
5.13333,0.147785
5.2,0.14919
5.26667,0.151924
5.33333,0.155791
5.4,0.15716
5.46667,0.159646
5.53333,0.165004
5.6,0.167868
5.66667,0.173548
5.73333,0.179292
5.8,0.182671
5.86667,0.189591
5.93333,0.195767
6,0.198588
6.06667,0.204579
6.13333,0.207065
6.2,0.207805
6.26667,0.208721
6.33333,0.21013
6.4,0.211349
6.46667,0.212356
6.53333,0.213942
6.6,0.213733
6.66667,0.214158
6.73333,0.214422
6.8,0.214036
6.86667,0.213843
6.93333,0.213363
7,0.213124
7.06667,0.212585
7.13333,0.215846
7.2,0.216774
7.26667,0.220201
7.33333,0.224138
7.4,0.226015
7.46667,0.229375
7.53333,0.233108
7.6,0.235122
7.66667,0.239131
7.73333,0.24236
7.8,0.243265
7.86667,0.243139
7.93333,0.243253
8,0.241121
8.06667,0.242065
8.13333,0.242089
8.2,0.241644
8.26667,0.242408
8.33333,0.243053
8.4,0.243301
8.46667,0.243171
8.53333,0.244013
8.6,0.244945
8.66667,0.246094
8.73333,0.247057
8.8,0.247754
8.86667,0.249866
8.93333,0.251365
9,0.252651
9.06667,0.255409
9.13333,0.257337
9.2,0.258662
9.26667,0.26022
9.33333,0.261676
9.4,0.261609
9.46667,0.262089
9.53333,0.261896
9.6,0.262242
9.66667,0.261857
9.73333,0.260854
9.8,0.260952
9.86667,0.25939
9.93333,0.257844
10,0.25703
10.0667,0.25605
10.1333,0.254827
10.2,0.254068
10.2667,0.253383
10.3333,0.252309
10.4,0.251436
10.4667,0.249347
10.5333,0.247124
10.6,0.246381
10.6667,0.244736
10.7333,0.244363
10.8,0.243336
10.8667,0.242408
10.9333,0.240744
11,0.24072
11.0667,0.240327
11.1333,0.239736
11.2,0.239595
11.2667,0.238828
11.3333,0.237785
11.4,0.23751
11.4667,0.236699
11.5333,0.23581
11.6,0.23581
11.6667,0.235539
11.7333,0.235629
11.8,0.235401
11.8667,0.235224
11.9333,0.234764
12,0.235055
12.0667,0.234748
12.1333,0.234422
12.2,0.23426
12.2667,0.234166
12.3333,0.233423
12.4,0.233509
12.4667,0.232667
12.5333,0.232419
12.6,0.232604
12.6667,0.232179
12.7333,0.232439
12.8,0.232242
12.8667,0.231825
12.9333,0.231849
13,0.234064
13.0667,0.2345
13.1333,0.234512
13.2,0.234603
13.2667,0.234618
13.3333,0.234496
13.4,0.234453
13.4667,0.234434
13.5333,0.234788
13.6,0.234862
13.6667,0.235208
13.7333,0.234858
13.8,0.234697
13.8667,0.234445
13.9333,0.234465
14,0.234591
14.0667,0.235031
14.1333,0.23502
14.2,0.234906
14.2667,0.234445
14.3333,0.234371
14.4,0.234099
14.4667,0.233812
14.5333,0.233773
14.6,0.234083
14.6667,0.234253
14.7333,0.234237
14.8,0.233969
14.8667,0.233985
14.9333,0.233694
15,0.233576
15.0667,0.233466
15.1333,0.233517
15.2,0.233576
15.2667,0.233202
15.3333,0.233316
15.4,0.233293
15.4667,0.233352
15.5333,0.233623
15.6,0.233611
15.6667,0.233958
15.7333,0.234174
15.8,0.234091
15.8667,0.233568
15.9333,0.232852
16,0.231951
16.0667,0.231947
16.1333,0.233222
16.2,0.233151
16.2667,0.233714
16.3333,0.232478
16.4,0.232541
16.4667,0.233131
16.5333,0.233143
16.6,0.232848
16.6667,0.232419
16.7333,0.232502
16.8,0.232199
16.8667,0.231696
16.9333,0.231503
17,0.231731
17.0667,0.231884
17.1333,0.231959
17.2,0.231821
17.2667,0.23216
17.3333,0.232227
17.4,0.232207
17.4667,0.231644
17.5333,0.232113
17.6,0.232046
17.6667,0.232113
17.7333,0.232164
17.8,0.232097
17.8667,0.231971
17.9333,0.23203
18,0.230622
18.0667,0.230555
18.1333,0.230476
18.2,0.230511
18.2667,0.230653
18.3333,0.230987
18.4,0.231444
18.4667,0.232408
18.5333,0.233127
18.6,0.233399
18.6667,0.234717
18.7333,0.236365
18.8,0.237301
18.8667,0.238946
18.9333,0.24109
19,0.241798
19.0667,0.243509
19.1333,0.243332
19.2,0.242773
19.2667,0.241526
19.3333,0.239709
19.4,0.239123
19.4667,0.237766
19.5333,0.236463
19.6,0.235787
19.6667,0.235102
19.7333,0.233541
19.8,0.232817
19.8667,0.231243
19.9333,0.229898
20,0.229473
20.0667,0.228474
20.1333,0.227553
20.2,0.227238
20.2667,0.227431
20.3333,0.22771
20.4,0.227844
20.4667,0.228131
20.5333,0.228851
20.6,0.229355
20.6667,0.229284
20.7333,0.230224
20.8,0.229996
20.8667,0.229902
20.9333,0.23164
21,0.232203
21.0667,0.232746
21.1333,0.23251
21.2,0.232168
21.2667,0.231751
21.3333,0.232919
21.4,0.232998
21.4667,0.232805
21.5333,0.232911
21.6,0.232887
21.6667,0.233112
21.7333,0.233092
21.8,0.232915
21.8667,0.232836
21.9333,0.232848
22,0.232766
22.0667,0.232754
22.1333,0.232333
22.2,0.232286
22.2667,0.232655
22.3333,0.232632
22.4,0.232608
22.4667,0.232317
22.5333,0.232384
22.6,0.232659
22.6667,0.233411
22.7333,0.235197
22.8,0.236109
22.8667,0.237242
22.9333,0.238655
23,0.240452
23.0667,0.241979
23.1333,0.242105
23.2,0.242644
23.2667,0.242565
23.3333,0.242195
23.4,0.241365
23.4667,0.241042
23.5333,0.240885
23.6,0.240452
23.6667,0.240193
23.7333,0.240547
23.8,0.240547
23.8667,0.240464
23.9333,0.240319
24,0.240319
24.0667,0.240602
24.1333,0.24061
24.2,0.240563
24.2667,0.240574
24.3333,0.240641
24.4,0.240653
24.4667,0.240854
24.5333,0.240555
24.6,0.240681
24.6667,0.239937
24.7333,0.24011
24.8,0.240134
24.8667,0.240177
24.9333,0.240024
25,0.239933
25.0667,0.239622
25.1333,0.239076
25.2,0.238875
25.2667,0.238423
25.3333,0.238076
25.4,0.238053
25.4667,0.238698
25.5333,0.239972
25.6,0.241137
25.6667,0.24382
25.7333,0.246546
25.8,0.247187
25.8667,0.249076
25.9333,0.251841
26,0.25299
26.0667,0.254473
26.1333,0.256231
26.2,0.256656
26.2667,0.257211
26.3333,0.259969
26.4,0.260295
26.4667,0.26081
26.5333,0.261373
26.6,0.261865
26.6667,0.26177
26.7333,0.262278
26.8,0.262498
26.8667,0.262821
26.9333,0.264776
27,0.265507
27.0667,0.268434
27.1333,0.27214
27.2,0.274315
27.2667,0.278871
27.3333,0.283068
27.4,0.286078
27.4667,0.291739
27.5333,0.297998
27.6,0.300456
27.6667,0.306967
27.7333,0.312911
27.8,0.316027
27.8667,0.322116
27.9333,0.327368
28,0.329638
28.0667,0.334847
28.1333,0.34105
28.2,0.344146
28.2667,0.351526
28.3333,0.359359
28.4,0.362408
28.4667,0.36989
28.5333,0.376326
28.6,0.379434
28.6667,0.38622
28.7333,0.392569
28.8,0.395633
28.8667,0.4024
28.9333,0.408867
29,0.412175
29.0667,0.41773
29.1333,0.421648
29.2,0.4231
29.2667,0.426534
29.3333,0.431574
29.4,0.432498
29.4667,0.436121
29.5333,0.438836
29.6,0.440555
29.6667,0.446499
29.7333,0.45105
29.8,0.452286
29.8667,0.456149
29.9333,0.460421
30,0.46118
30.0667,0.465354
30.1333,0.46871
30.2,0.469795
30.2667,0.47253
30.3333,0.476369
30.4,0.476463
30.4667,0.478871
30.5333,0.480901
30.6,0.481924
30.6667,0.482703
30.7333,0.484127
30.8,0.484264
30.8667,0.485417
30.9333,0.485692
31,0.486235
31.0667,0.487207
31.1333,0.48771
31.2,0.486971
31.2667,0.488576
31.3333,0.493533
31.4,0.493694
31.4667,0.493603
31.5333,0.493887
31.6,0.493403
31.6667,0.494512
31.7333,0.493985
31.8,0.493222
31.8667,0.493918
31.9333,0.494024
32,0.494068
32.0667,0.494378
32.1333,0.494398
32.2,0.493918
32.2667,0.495083
32.3333,0.495913
32.4,0.495771
32.4667,0.49574
32.5333,0.495504
32.6,0.495122
32.6667,0.494658
32.7333,0.495303
32.8,0.495224
32.8667,0.495897
32.9333,0.495555
33,0.49788
33.0667,0.497651
33.1333,0.498458
33.2,0.497553
33.2667,0.501216
33.3333,0.505783
33.4,0.507447
33.4667,0.512848
33.5333,0.517986
33.6,0.520838
33.6667,0.526412
33.7333,0.533761
33.8,0.536707
33.8667,0.541534
33.9333,0.545716
34,0.547667
34.0667,0.548828
34.1333,0.55022
34.2,0.550826
34.2667,0.55262
34.3333,0.554276
34.4,0.55476
34.4667,0.557777
34.5333,0.560751
34.6,0.562172
34.6667,0.572309
34.7333,0.574697
34.8,0.576263
34.8667,0.578891
34.9333,0.582518
35,0.583954
35.0667,0.586271
35.1333,0.587156
35.2,0.588068
35.2667,0.589441
35.3333,0.590165
35.4,0.590452
35.4667,0.590641
35.5333,0.590323
35.6,0.590783
35.6667,0.591869
35.7333,0.591609
35.8,0.59131
35.8667,0.591794
35.9333,0.592868
36,0.593127
36.0667,0.591829
36.1333,0.593065
36.2,0.594103
36.2667,0.593159
36.3333,0.594154
36.4,0.594418
36.4667,0.59402
36.5333,0.593285
36.6,0.592742
36.6667,0.591849
36.7333,0.590924
36.8,0.590767
36.8667,0.590928
36.9333,0.589052
37,0.588407
37.0667,0.588163
37.1333,0.587431
37.2,0.586349
37.2667,0.585838
37.3333,0.585924
37.4,0.585472
37.4667,0.584898
37.5333,0.584559
37.6,0.583891
37.6667,0.583194
37.7333,0.582451
37.8,0.582624
37.8667,0.582624
37.9333,0.58452
38,0.583446
38.0667,0.585551
38.1333,0.587522
38.2,0.588092
38.2667,0.5907
38.3333,0.592915
38.4,0.594213
38.4667,0.596495
38.5333,0.599158
38.6,0.601098
38.6667,0.603816
38.7333,0.606479
38.8,0.60795
38.8667,0.610547
38.9333,0.613139
39,0.614768
39.0667,0.617612
39.1333,0.619693
39.2,0.621286
39.2667,0.624508
39.3333,0.627156
39.4,0.628603
39.4667,0.630917
39.5333,0.636971
39.6,0.638804
39.6667,0.649831
39.7333,0.659315
39.8,0.663301
39.8667,0.668576
39.9333,0.674276
40,0.677494
40.0667,0.680511
40.1333,0.684197
40.2,0.684949
40.2667,0.688749
40.3333,0.691003
40.4,0.692042
40.4667,0.699398
40.5333,0.704418
40.6,0.706341
40.6667,0.711227
40.7333,0.714115
40.8,0.714862
40.8667,0.716876
40.9333,0.719677
41,0.720806
41.0667,0.723002
41.1333,0.724611
41.2,0.725708
41.2667,0.727333
41.3333,0.732927
41.4,0.733108
41.4667,0.733529
41.5333,0.734205
41.6,0.734485
41.6667,0.735374
41.7333,0.734752
41.8,0.734453
41.8667,0.734213
41.9333,0.735236
42,0.735881
42.0667,0.737628
42.1333,0.739028
42.2,0.738572
42.2667,0.739131
42.3333,0.738906
42.4,0.739335
42.4667,0.739319
42.5333,0.739146
42.6,0.738792
42.6667,0.738796
42.7333,0.738607
42.8,0.737915
42.8667,0.738501
42.9333,0.739481
43,0.742541
43.0667,0.743839
43.1333,0.744308
43.2,0.745161
43.2667,0.746397
43.3333,0.746967
43.4,0.747006
43.4667,0.747451
43.5333,0.74867
43.6,0.749158
43.6667,0.750146
43.7333,0.750578
43.8,0.751349
43.8667,0.752301
43.9333,0.752915
44,0.753002
44.0667,0.754839
44.1333,0.756381
44.2,0.757231
44.2667,0.758458
44.3333,0.759445
44.4,0.760657
44.4667,0.761609
44.5333,0.763281
44.6,0.763851
44.6667,0.764489
44.7333,0.765244
44.8,0.765952
44.8667,0.766094
44.9333,0.766699
45,0.766227
45.0667,0.766994
45.1333,0.767577
45.2,0.767946
45.2667,0.768517
45.3333,0.769056
45.4,0.769548
45.4667,0.770165
45.5333,0.770818
45.6,0.771428
45.6667,0.771605
45.7333,0.77212
45.8,0.771633
45.8667,0.772195
45.9333,0.772337
46,0.772687
46.0667,0.772797
46.1333,0.773186
46.2,0.773253
46.2667,0.773721
46.3333,0.776133
46.4,0.776365
46.4667,0.775854
46.5333,0.776003
46.6,0.775629
46.6667,0.776098
46.7333,0.776035
46.8,0.776039
46.8667,0.776652
46.9333,0.777034
47,0.777069
47.0667,0.77753
47.1333,0.777349
47.2,0.77788
47.2667,0.778006
47.3333,0.778245
47.4,0.778682
47.4667,0.77878
47.5333,0.779335
47.6,0.779925
47.6667,0.779945
47.7333,0.780299
47.8,0.780531
47.8667,0.780972
47.9333,0.781436
48,0.790268
48.0667,0.789721
48.1333,0.78991
48.2,0.78952
48.2667,0.78906
48.3333,0.789091
48.4,0.788895
48.4667,0.788749
48.5333,0.78891
48.6,0.788659
48.6667,0.788639
48.7333,0.788466
48.8,0.789256
48.8667,0.788847
48.9333,0.789064
49,0.789103
49.0667,0.789056
49.1333,0.789013
49.2,0.789091
49.2667,0.789079
49.3333,0.788985
49.4,0.78926
49.4667,0.789186
49.5333,0.789426
49.6,0.789481
49.6667,0.796074
49.7333,0.796526
49.8,0.79677
49.8667,0.797321
49.9333,0.798269
50,0.7986
50.0667,0.798977
50.1333,0.799237
50.2,0.799453
50.2667,0.799681
50.3333,0.799351
50.4,0.79939
50.4667,0.799343
50.5333,0.799347
50.6,0.799697
50.6667,0.799481
50.7333,0.800692
50.8,0.801212
50.8667,0.802199
50.9333,0.802223
51,0.803674
51.0667,0.804292
51.1333,0.804614
51.2,0.804882
51.2667,0.804638
51.3333,0.818631
51.4,0.818442
51.4667,0.818965
51.5333,0.819276
51.6,0.819371
51.6667,0.819642
51.7333,0.820173
51.8,0.820181
51.8667,0.819795
51.9333,0.819449
52,0.819473
52.0667,0.818891
52.1333,0.818651
52.2,0.818265
52.2667,0.818061
52.3333,0.818084
52.4,0.81786
52.4667,0.818218
52.5333,0.817301
52.6,0.817116
52.6667,0.816467
52.7333,0.816042
52.8,0.816149
52.8667,0.815633
52.9333,0.814465
53,0.810763
53.0667,0.81074
53.1333,0.810803
53.2,0.811133
53.2667,0.81046
53.3333,0.809575
53.4,0.80856
53.4667,0.807034
53.5333,0.805881
53.6,0.806172
53.6667,0.805413
53.7333,0.804953
53.8,0.804705
53.8667,0.804205
53.9333,0.80441
54,0.804807
54.0667,0.805814
54.1333,0.807608
54.2,0.810759
54.2667,0.818596
54.3333,0.823175
54.4,0.825645
54.4667,0.829988
54.5333,0.838596
54.6,0.839953
54.6667,0.875452
54.7333,0.874677
54.8,0.87419
54.8667,0.882549
54.9333,0.886074
55,0.887628
55.0667,0.891326
55.1333,0.893631
55.2,0.894154
55.2667,0.894815
55.3333,0.895594
55.4,0.8962
55.4667,0.897388
55.5333,0.897644
55.6,0.8974
55.6667,0.897356
55.7333,0.897254
55.8,0.897427
55.8667,0.897915
55.9333,0.897974
56,0.898234
56.0667,0.898356
