Time,Queue Density,Dynamic Density
0,1,1
0.466667,0.0940459,0.159736
0.933333,0.108443,0.113134
1.4,0.114008,0.108483
1.86667,0.125839,0.0942065
2.33333,0.130451,0.0950765
2.8,0.134895,0.0923922
3.26667,0.13935,0.0905072
3.73333,0.146612,0.0798443
4.2,0.14497,0.0719559
4.66667,0.141615,0.0747382
5.13333,0.147807,0.0634248
5.6,0.168126,0.0694754
6.06667,0.204742,0.11797
6.53333,0.214159,0.147376
7,0.213277,0.141353
7.46667,0.229348,0.135718
7.93333,0.243236,0.148266
8.4,0.243291,0.138974
8.86667,0.249902,0.154767
9.33333,0.26147,0.140706
9.8,0.260726,0.156906
10.2667,0.253221,0.143093
10.7333,0.244208,0.121285
11.2,0.23951,0.108616
11.6667,0.235469,0.105814
12.1333,0.23436,0.0999984
12.6,0.232562,0.0883559
13.0667,0.234447,0.0805615
13.5333,0.234737,0.0713015
14,0.234537,0.0624843
14.4667,0.233769,0.0493957
14.9333,0.233643,0.043545
15.4,0.23324,0.0372751
15.8667,0.233514,0.033082
16.3333,0.23244,0.0347945
16.8,0.232146,0.027537
17.2667,0.232107,0.0246332
17.7333,0.232107,0.0236143
18.2,0.230469,0.0219097
18.6667,0.234784,0.0237828
19.1333,0.243228,0.0379138
19.6,0.235779,0.0318045
20.0667,0.228423,0.0242766
20.5333,0.228804,0.0207301
21,0.232142,0.0270354
21.4667,0.232758,0.0308836
21.9333,0.232769,0.0298647
22.4,0.232538,0.028066
22.8667,0.237256,0.0315341
23.3333,0.242108,0.0403748
23.8,0.240564,0.0366324
24.2667,0.240595,0.0360093
24.7333,0.240042,0.0375964
25.2,0.238812,0.03588
25.6667,0.24393,0.0426085
26.1333,0.256109,0.0612617
26.6,0.261874,0.0715601
27.0667,0.268622,0.0837905
27.5333,0.298075,0.12257
28,0.329864,0.176774
28.4667,0.370141,0.21758
28.9333,0.409218,0.261259
29.4,0.432676,0.292612
29.8667,0.4564,0.330115
30.3333,0.476519,0.347937
30.8,0.48409,0.362425
