Time,Queue Density,Dynamic Density
0,1,1
0.0666667,0.0732687,0.140142
0.533333,0.0991167,0.107546
1,0.108334,0.104231
1.46667,0.114709,0.104924
1.93333,0.127218,0.0956682
2.4,0.130976,0.0954292
2.86667,0.135812,0.0909305
3.33333,0.139601,0.0874271
3.8,0.147129,0.0787432
4.26667,0.144049,0.0822975
4.73333,0.142717,0.0769014
5.2,0.149312,0.0587537
5.66667,0.17373,0.077207
6.13333,0.207152,0.126003
6.6,0.213936,0.156981
7.06667,0.212784,0.142811
7.53333,0.23311,0.1462
8,0.241089,0.154426
8.46667,0.243193,0.145942
8.93333,0.251446,0.160469
9.4,0.261419,0.148242
9.86667,0.259154,0.15501
10.3333,0.252163,0.14388
10.8,0.243205,0.122339
11.2667,0.238769,0.114188
11.7333,0.235559,0.104936
12.2,0.2342,0.099391
12.6667,0.232131,0.0893159
13.1333,0.234458,0.0838846
13.6,0.234811,0.0726221
14.0667,0.234979,0.0598392
14.5333,0.233729,0.0457631
15,0.233518,0.0417503
15.4667,0.233298,0.0358447
15.9333,0.232801,0.0315459
16.4,0.232503,0.0341636
16.8667,0.231645,0.0266788
17.3333,0.232174,0.024496
17.8,0.23204,0.0231911
18.2667,0.23061,0.0210554
18.7333,0.236453,0.0263261
19.2,0.242672,0.0373338
19.6667,0.235081,0.0340382
20.1333,0.227518,0.0230657
20.6,0.229301,0.0214512
21.0667,0.232675,0.0273371
21.5333,0.232852,0.0306759
22,0.232687,0.0291123
22.4667,0.232248,0.0277486
22.9333,0.238675,0.0332427
23.4,0.241281,0.039689
23.8667,0.240466,0.0365148
24.3333,0.240603,0.0374083
24.8,0.240066,0.0374867
25.2667,0.238361,0.0363071
25.7333,0.246591,0.0460766
26.2,0.256556,0.0631819
26.6667,0.261784,0.0725868
27.1333,0.272294,0.088395
27.6,0.300556,0.126697
28.0667,0.335037,0.18315
28.5333,0.376544,0.225911
29,0.412498,0.265244
29.4667,0.436383,0.299545
29.9333,0.460605,0.335209
30.4,0.476589,0.349975
30.8667,0.48516,0.367061
31.3333,0.493291,0.382018
31.8,0.493021,0.380949
32.2667,0.494866,0.38089
32.7333,0.495078,0.379209
33.2,0.497312,0.379581
33.6667,0.526495,0.401745
34.1333,0.55025,0.411828
34.6,0.562049,0.412651
35.0667,0.586334,0.416852
35.5333,0.590358,0.410175
36,0.593043,0.402318
36.4667,0.593858,0.409081
36.9333,0.588908,0.387352
37.4,0.585201,0.365858
37.8667,0.582611,0.357624
38.3333,0.592925,0.352271
38.8,0.60793,0.35244
39.2667,0.624393,0.355163
39.7333,0.659418,0.402341
40.2,0.685039,0.430799
40.6667,0.711424,0.465013
41.1333,0.724755,0.475422
41.6,0.734607,0.505945
42.0667,0.737746,0.496892
42.5333,0.739267,0.489705
43,0.742684,0.500713
43.4667,0.747382,0.481586
43.9333,0.752778,0.471233
44.4,0.760847,0.462995
44.8667,0.766333,0.454664
45.3333,0.76917,0.436908
45.8,0.771867,0.421578
46.2667,0.773924,0.404422
46.7333,0.776256,0.392211
47.2,0.778078,0.378664
47.6667,0.780229,0.36634
48.1333,0.790151,0.383852
48.6,0.788909,0.365309
49.0667,0.789301,0.353165
49.5333,0.789681,0.332278
50,0.798824,0.319279
50.4667,0.799549,0.294486
50.9333,0.802433,0.279798
51.4,0.818605,0.300074
51.8667,0.819922,0.275562
52.3333,0.818339,0.25569
52.8,0.816415,0.245556
53.2667,0.810682,0.220421
53.7333,0.805231,0.20921
54.2,0.811019,0.205107
54.6667,0.875537,0.250929
55.1333,0.893645,0.245584
55.6,0.8974,0.239149
56.0667,0.898324,0.228372
56.5333,0.90653,0.235438
57,0.905668,0.220555
57.4667,0.905006,0.209257
57.9333,0.904943,0.199303
58.4,0.90704,0.190474
58.8667,0.906252,0.179635
59.3333,0.906522,0.167354
59.8,0.905915,0.157706
60.2667,0.90606,0.146287
60.7333,0.905993,0.135224
61.2,0.906236,0.124107
