Time,Queue Density,Dynamic Density
0,1,1
0.2,0.073449,0.135224
0.666667,0.102314,0.112746
1.13333,0.110806,0.104607
1.6,0.117304,0.100335
2.06667,0.128562,0.0932856
2.53333,0.132399,0.0940655
3,0.137998,0.0958955
3.46667,0.141506,0.0780496
3.93333,0.147803,0.0805732
4.4,0.142724,0.0765722
4.86667,0.144845,0.0724575
5.33333,0.155915,0.0629781
5.8,0.182954,0.089026
6.26667,0.20903,0.123773
6.73333,0.214614,0.156448
7.2,0.216816,0.139037
7.66667,0.23909,0.150531
8.13333,0.242068,0.152827
8.6,0.245008,0.150229
9.06667,0.25542,0.152474
9.53333,0.261682,0.15249
10,0.256791,0.141776
10.4667,0.249161,0.136756
10.9333,0.240646,0.117578
11.4,0.237448,0.113553
11.8667,0.235164,0.102937
12.3333,0.233369,0.097514
12.8,0.232193,0.0835554
13.2667,0.234568,0.0809377
13.7333,0.234807,0.0691932
14.2,0.234854,0.0572881
14.6667,0.2342,0.0517391
15.1333,0.233459,0.0404963
15.6,0.233557,0.0375611
16.0667,0.231899,0.0289438
16.5333,0.233102,0.0301704
17,0.23168,0.0242648
17.4667,0.231594,0.0227405
17.9333,0.231974,0.0219802
18.4,0.231515,0.0209888
18.8667,0.23902,0.029367
19.3333,0.239635,0.0348846
19.8,0.232808,0.0306289
20.2667,0.227401,0.0206243
20.7333,0.230167,0.0230069
21.2,0.232099,0.025848
21.6667,0.23304,0.0299392
22.1333,0.23226,0.0282306
22.6,0.232585,0.0275762
23.0667,0.241892,0.041813
23.5333,0.240889,0.0377884
24,0.240317,0.0365854
24.4667,0.240771,0.0365031
24.9333,0.239956,0.0361974
25.4,0.237997,0.0352295
25.8667,0.249114,0.050011
26.3333,0.259914,0.0683428
26.8,0.262469,0.0738212
27.2667,0.278916,0.0952685
27.7333,0.31306,0.141494
28.2,0.34441,0.190384
28.6667,0.386466,0.236586
29.1333,0.421899,0.277803
29.6,0.440913,0.305956
30.0667,0.465578,0.339144
30.5333,0.480939,0.355626
31,0.486022,0.369682
31.4667,0.493299,0.380518
31.9333,0.493828,0.380541
32.4,0.495556,0.378707
32.8667,0.495678,0.37625
33.3333,0.505894,0.385342
33.8,0.536793,0.40336
34.2667,0.552617,0.407698
34.7333,0.574695,0.417949
35.2,0.588136,0.416217
35.6667,0.591824,0.408372
36.1333,0.592937,0.397063
36.6,0.592588,0.395252
37.0667,0.588038,0.376752
37.5333,0.584288,0.358044
38,0.583504,0.349148
38.4667,0.596495,0.351147
38.9333,0.613087,0.354184
39.4,0.628719,0.354991
39.8667,0.668674,0.41697
40.3333,0.691133,0.433048
40.8,0.714841,0.470856
41.2667,0.727487,0.474548
41.7333,0.734874,0.498766
42.2,0.738706,0.494243
42.6667,0.738894,0.486061
43.1333,0.74449,0.493926
43.6,0.749165,0.478208
44.0667,0.754851,0.465131
44.5333,0.763504,0.460115
45,0.766447,0.449033
45.4667,0.770401,0.433377
45.9333,0.772525,0.418435
46.4,0.776573,0.412036
46.8667,0.776859,0.390291
47.3333,0.77854,0.3806
47.8,0.780801,0.370399
48.2667,0.789328,0.378331
48.7333,0.788725,0.362033
49.2,0.789344,0.346201
49.6667,0.796308,0.334582
50.1333,0.799447,0.313264
50.6,0.799909,0.289293
51.0667,0.804494,0.277251
51.5333,0.819436,0.293953
52,0.819601,0.269562
52.4667,0.81848,0.250835
52.9333,0.814742,0.241508
53.4,0.808609,0.213983
53.8667,0.804482,0.204445
54.3333,0.823371,0.205534
54.8,0.874275,0.244506
55.2667,0.894825,0.240505
55.7333,0.897255,0.232942
56.2,0.899053,0.222639
56.6667,0.906428,0.22764
57.1333,0.905617,0.213599
57.6,0.905135,0.201972
58.0667,0.906656,0.195439
58.5333,0.906946,0.186101
59,0.906679,0.174498
59.4667,0.905907,0.161962
59.9333,0.905598,0.152204
60.4,0.905907,0.141941
60.8667,0.905688,0.131752
61.3333,0.905997,0.118064
61.8,0.906679,0.103968
62.2667,0.905637,0.0957231
62.7333,0.905233,0.0925685
63.2,0.904089,0.085358
63.6667,0.905652,0.0835397
64.1333,0.905758,0.0751536
64.6,0.905656,0.0689189
65.0667,0.904144,0.0631583
65.5333,0.901894,0.0638951
66,0.902173,0.0568178
66.4667,0.903191,0.0520017
66.9333,0.903336,0.0499992
