Time,Queue Density,Dynamic Density
0,1,1
0.333333,0.0834731,0.144394
0.8,0.104971,0.111904
1.26667,0.112781,0.10204
1.73333,0.122159,0.10331
2.2,0.130216,0.0941791
2.66667,0.133202,0.0947904
3.13333,0.138324,0.0941987
3.6,0.143959,0.0768269
4.06667,0.147882,0.0802989
4.53333,0.142615,0.0744286
5,0.145468,0.0677981
5.46667,0.159732,0.0628566
5.93333,0.196012,0.105669
6.4,0.211624,0.146008
6.86667,0.214042,0.146106
7.33333,0.224172,0.131842
7.8,0.242997,0.149265
8.26667,0.242394,0.1441
8.73333,0.247147,0.153854
9.2,0.258598,0.142709
9.66667,0.261619,0.161342
10.1333,0.254659,0.136717
10.6,0.246191,0.124169
11.0667,0.240207,0.113965
11.5333,0.235748,0.111069
12,0.234979,0.10039
12.4667,0.232628,0.0918161
12.9333,0.231797,0.0793741
13.4,0.234403,0.0792526
13.8667,0.234396,0.0687778
14.3333,0.234321,0.0564534
14.8,0.233917,0.0500149
15.2667,0.233149,0.0402102
15.7333,0.234117,0.0371301
16.2,0.233098,0.0300293
16.6667,0.232381,0.0288067
17.1333,0.231907,0.0235595
17.6,0.231989,0.0233283
18.0667,0.230512,0.02421
18.5333,0.233189,0.0222624
19,0.24188,0.0332309
19.4667,0.237738,0.0331565
19.9333,0.229897,0.0270667
20.4,0.227812,0.0192528
20.8667,0.22985,0.0251191
21.3333,0.232863,0.0323766
21.8,0.232836,0.0294885
22.2667,0.232581,0.0285284
22.7333,0.235226,0.0302292
23.2,0.24255,0.0412957
23.6667,0.240227,0.0373574
24.1333,0.240642,0.0373103
24.6,0.240595,0.0358917
25.0667,0.239557,0.0365814
25.5333,0.24007,0.0383801
26,0.252943,0.0556579
26.4667,0.260796,0.0704472
26.9333,0.264876,0.0773599
27.4,0.286123,0.105908
27.8667,0.322238,0.151749
28.3333,0.359682,0.205326
28.8,0.395887,0.245756
29.2667,0.426845,0.284755
29.7333,0.451317,0.324009
30.2,0.470053,0.341863
30.6667,0.482613,0.359674
31.1333,0.487491,0.371704
31.6,0.493087,0.379757
32.0667,0.494161,0.380051
32.5333,0.495278,0.377657
33,0.497661,0.379949
33.4667,0.512951,0.389636
33.9333,0.545673,0.40691
34.4,0.554764,0.404692
34.8667,0.578998,0.41476
35.3333,0.590202,0.409289
35.8,0.59126,0.399763
36.2667,0.593019,0.391161
36.7333,0.590789,0.388002
37.2,0.58624,0.365572
37.6667,0.58294,0.351523
38.1333,0.587513,0.348321
38.6,0.601084,0.347342
39.0667,0.617523,0.350853
39.5333,0.637195,0.358839
40,0.67755,0.428181
40.4667,0.699632,0.442849
40.9333,0.719743,0.476899
41.4,0.733212,0.512446
41.8667,0.734356,0.497688
42.3333,0.738957,0.494898
42.8,0.738005,0.484462
43.2667,0.74654,0.490344
43.7333,0.750537,0.476762
44.2,0.757242,0.465445
44.6667,0.764707,0.459684
45.1333,0.767787,0.446854
45.6,0.771651,0.431406
46.0667,0.772991,0.413415
46.5333,0.776232,0.403779
47,0.77722,0.386411
47.4667,0.77905,0.376446
47.9333,0.781718,0.365936
48.4,0.789156,0.369224
48.8667,0.789093,0.352162
49.3333,0.789242,0.336718
49.8,0.796994,0.322763
50.2667,0.799897,0.303322
50.7333,0.800924,0.280954
51.2,0.805078,0.269762
51.6667,0.819773,0.280527
52.1333,0.818778,0.259828
52.6,0.817257,0.246438
53.0667,0.81103,0.221209
53.5333,0.806156,0.211675
54,0.80505,0.203488
54.4667,0.830166,0.207568
54.9333,0.88611,0.244557
55.4,0.896196,0.241504
55.8667,0.897905,0.230645
56.3333,0.90633,0.239129
56.8,0.906452,0.223889
57.2667,0.905343,0.212223
57.7333,0.905456,0.201102
58.2,0.906891,0.192152
58.6667,0.906315,0.18208
59.1333,0.906832,0.169819
59.6,0.9055,0.158638
60.0667,0.905566,0.149766
60.5333,0.906319,0.138817
61,0.906154,0.128954
61.4667,0.906275,0.113941
61.9333,0.906785,0.101691
62.4,0.905586,0.0940537
62.8667,0.904873,0.0915418
63.3333,0.904363,0.0838767
63.8,0.90617,0.0828343
64.2667,0.905609,0.0750086
