Time,Queue Density,Dynamic Density
0,1,1
0.266667,0.0770503,0.137971
0.733333,0.104274,0.113475
1.2,0.111492,0.100547
1.66667,0.119561,0.102075
2.13333,0.129851,0.095002
2.6,0.133112,0.0920277
3.06667,0.138273,0.0951039
3.53333,0.142924,0.0780182
4,0.148164,0.0783866
4.46667,0.142568,0.0753104
4.93333,0.145765,0.0714582
5.4,0.15729,0.061003
5.86667,0.189851,0.0961973
6.33333,0.210425,0.151028
6.8,0.214241,0.144997
7.26667,0.220245,0.134409
7.73333,0.242225,0.150942
8.2,0.241626,0.1414
8.66667,0.246171,0.150021
9.13333,0.257269,0.153591
9.6,0.261984,0.155147
10.0667,0.255859,0.136756
10.5333,0.246936,0.132869
11,0.240626,0.117754
11.4667,0.236641,0.112064
11.9333,0.234689,0.0997986
12.4,0.233455,0.0930779
12.8667,0.231774,0.079429
13.3333,0.234447,0.0796288
13.8,0.234646,0.0695498
14.2667,0.234396,0.0570059
14.7333,0.234184,0.0506145
15.2,0.233522,0.040606
15.6667,0.233902,0.0386035
16.1333,0.233169,0.0306837
16.6,0.232808,0.029657
17.0667,0.231833,0.0239239
17.5333,0.232056,0.023532
18,0.230579,0.0248487
18.4667,0.232479,0.0219018
18.9333,0.241179,0.0328077
19.4,0.239059,0.034144
19.8667,0.231241,0.0290065
20.3333,0.227675,0.0203461
20.8,0.22994,0.0239082
21.2667,0.231688,0.0257775
21.7333,0.233016,0.0296296
22.2,0.232213,0.0278191
22.6667,0.233408,0.0282228
23.1333,0.242014,0.0421813
23.6,0.240454,0.0379177
24.0667,0.240611,0.0366324
24.5333,0.24047,0.0363071
25,0.239866,0.0366794
25.4667,0.238781,0.0360877
25.9333,0.251877,0.0536241
26.4,0.260224,0.0697536
26.8667,0.262885,0.0745423
27.3333,0.283078,0.102115
27.8,0.31618,0.145327
28.2667,0.351813,0.196764
28.7333,0.392862,0.243565
29.2,0.423443,0.278764
29.6667,0.446799,0.322226
30.1333,0.46894,0.341557
30.6,0.481911,0.357315
31.0667,0.486966,0.371038
31.5333,0.493585,0.380286
32,0.493871,0.380631
32.4667,0.495513,0.378358
32.9333,0.495348,0.376705
33.4,0.507504,0.3864
33.8667,0.541594,0.405253
34.3333,0.554275,0.408172
34.8,0.576365,0.415187
35.2667,0.589484,0.411801
35.7333,0.591561,0.404438
