Time,Queue Density,Dynamic Density
0,1,1
0.2,0.0684584,0.137424
0.4,0.0862069,0.0689655
0.6,0.0998986,0.0806288
0.8,0.101927,0.086714
1,0.106491,0.0831643
1.2,0.112576,0.0841785
1.4,0.112576,0.0862069
1.6,0.11359,0.0608519
1.8,0.122211,0.0684584
2,0.124746,0.081643
2.2,0.128803,0.0831643
2.4,0.129817,0.0856998
2.6,0.133367,0.0750507
2.8,0.13286,0.0740365
3,0.13641,0.0897566
3.2,0.133874,0.0831643
3.4,0.134381,0.0760649
3.6,0.141481,0.0684584
3.8,0.143509,0.0684584
4,0.147566,0.0770791
4.2,0.143002,0.0775862
4.4,0.140974,0.0704868
4.6,0.140467,0.0649087
4.8,0.140467,0.0638945
5,0.144016,0.0633874
5.2,0.14503,0.0623732
5.4,0.156187,0.0679513
5.6,0.164807,0.0745436
5.8,0.187627,0.0927992
6,0.197262,0.116126
6.2,0.213996,0.125761
6.4,0.216024,0.150101
6.6,0.212982,0.15213
6.8,0.217039,0.156187
7,0.211968,0.154665
7.2,0.21856,0.149087
7.4,0.219574,0.136917
7.6,0.225659,0.150609
7.8,0.238844,0.15213
8,0.236308,0.156694
8.2,0.238844,0.156694
8.4,0.244929,0.160243
8.6,0.246957,0.159736
8.8,0.243915,0.163793
9,0.246957,0.160751
9.2,0.248986,0.163793
9.4,0.256085,0.157708
9.6,0.25355,0.158722
9.8,0.254057,0.15568
10,0.248986,0.147566
10.2,0.247465,0.152637
10.4,0.242394,0.143509
10.6,0.236308,0.13286
10.8,0.240872,0.131339
11,0.236815,0.122211
11.2,0.234787,0.120183
11.4,0.231744,0.111562
11.6,0.232252,0.112069
11.8,0.231744,0.110548
12,0.23073,0.109026
12.2,0.228702,0.105477
12.4,0.232759,0.105477
12.6,0.231237,0.0983773
12.8,0.23073,0.0938134
13,0.227688,0.091785
13.2,0.231237,0.0836714
13.4,0.230223,0.076572
13.6,0.228702,0.071501
13.8,0.230223,0.0649087
14,0.23073,0.0593306
14.2,0.232252,0.0537525
14.4,0.231744,0.0491886
14.6,0.229716,0.0451318
14.8,0.233266,0.0507099
15,0.235294,0.046146
15.2,0.233266,0.0441176
15.4,0.230223,0.0410751
15.6,0.231237,0.0395538
15.8,0.23428,0.0410751
16,0.230223,0.0314402
16.2,0.23073,0.0324544
16.4,0.23073,0.0395538
16.6,0.23073,0.0319473
16.8,0.226166,0.0324544
17,0.226673,0.030426
17.2,0.230223,0.0283976
17.4,0.229716,0.0278905
17.6,0.230223,0.0273834
17.8,0.229716,0.0258621
18,0.229716,0.0273834
18.2,0.229716,0.0238337
18.4,0.230223,0.0223124
18.6,0.231237,0.025355
18.8,0.236308,0.030426
19,0.241379,0.0344828
19.2,0.244422,0.0441176
19.4,0.242394,0.0425963
19.6,0.236308,0.0390467
19.8,0.232252,0.0365112
20,0.229209,0.0309331
20.2,0.225659,0.025355
20.4,0.228195,0.0233266
20.6,0.226673,0.0228195
20.8,0.227688,0.0263692
21,0.231744,0.0314402
21.2,0.231744,0.0314402
21.4,0.229716,0.0329615
21.6,0.229209,0.0334686
21.8,0.229716,0.0334686
22,0.230223,0.0329615
22.2,0.226166,0.0273834
22.4,0.225152,0.0289047
22.6,0.228195,0.030426
22.8,0.23073,0.0365112
23,0.236308,0.0415822
23.2,0.238844,0.0451318
23.4,0.236308,0.0466531
23.6,0.239351,0.0451318
23.8,0.238844,0.0436105
24,0.238337,0.0400609
24.2,0.239858,0.0420892
24.4,0.238844,0.0425963
24.6,0.241379,0.0431034
24.8,0.241886,0.0431034
25,0.23783,0.0390467
25.2,0.235801,0.0370183
25.4,0.235801,0.0365112
25.6,0.239858,0.0390467
25.8,0.24645,0.0466531
26,0.253043,0.056288
26.2,0.258114,0.0644016
26.4,0.255578,0.0699797
26.6,0.258621,0.0720081
26.8,0.255071,0.0735294
27,0.263185,0.081643
27.2,0.268256,0.0882353
27.4,0.283469,0.104462
27.6,0.294118,0.124746
27.8,0.313387,0.146045
28,0.334178,0.184584
28.2,0.346349,0.194219
28.4,0.359026,0.213489
28.6,0.376775,0.235294
28.8,0.399087,0.254057
29,0.416329,0.272312
29.2,0.425456,0.289047
29.4,0.436613,0.301724
29.6,0.447262,0.315416
29.8,0.452333,0.336207
30,0.456389,0.348377
30.2,0.463489,0.353955
30.4,0.471602,0.365619
30.6,0.482759,0.370183
30.8,0.488844,0.380832
31,0.493915,0.389959
31.2,0.497972,0.394523
31.4,0.499493,0.400101
31.6,0.500507,0.39858
31.8,0.503043,0.39858
32,0.506085,0.404665
32.2,0.510649,0.400609
32.4,0.513692,0.39858
32.6,0.504564,0.394016
32.8,0.506085,0.392495
33,0.511663,0.401116
33.2,0.509635,0.396045
33.4,0.518256,0.406694
33.6,0.532454,0.407708
33.8,0.548682,0.413793
34,0.559331,0.415314
34.2,0.560345,0.415314
34.4,0.564909,0.404158
34.6,0.572515,0.406187
34.8,0.584178,0.410243
35,0.590264,0.411258
35.2,0.594828,0.401116
35.4,0.592292,0.403651
35.6,0.592292,0.395538
35.8,0.597363,0.392495
36,0.601927,0.383874
36.2,0.599899,0.375254
36.4,0.600913,0.380325
36.6,0.601927,0.375761
36.8,0.593813,0.360041
37,0.591278,0.345335
37.2,0.587728,0.328093
37.4,0.586207,0.313895
37.6,0.583671,0.304767
37.8,0.587221,0.306288
38,0.587221,0.306795
38.2,0.588742,0.308316
38.4,0.591785,0.308824
38.6,0.597363,0.309331
38.8,0.603448,0.308316
39,0.614097,0.311359
39.2,0.618154,0.304767
39.4,0.631846,0.307302
39.6,0.638438,0.306288
39.8,0.670892,0.350406
40,0.681542,0.371197
40.2,0.685598,0.365619
40.4,0.692698,0.361562
40.6,0.701318,0.387931
40.8,0.715517,0.403651
41,0.720588,0.407708
41.2,0.724645,0.408722
41.4,0.732252,0.43712
41.6,0.729716,0.426471
41.8,0.732252,0.418357
42,0.73428,0.417343
42.2,0.736815,0.420892
42.4,0.737323,0.425456
42.6,0.738844,0.418864
42.8,0.743408,0.408215
43,0.741379,0.424442
43.2,0.745436,0.416329
43.4,0.749493,0.407201
43.6,0.75,0.397566
43.8,0.754057,0.389452
44,0.751014,0.379817
44.2,0.752535,0.36714
44.4,0.76572,0.362069
44.6,0.766734,0.352434
44.8,0.766227,0.34787
45,0.768256,0.341278
45.2,0.771805,0.334686
45.4,0.769777,0.317951
45.6,0.774341,0.31643
45.8,0.770791,0.314402
46,0.772312,0.305274
46.2,0.772312,0.292596
46.4,0.775862,0.278398
46.6,0.779412,0.26927
46.8,0.773327,0.247972
47,0.773327,0.229209
47.2,0.774848,0.21501
47.4,0.773834,0.208418
47.6,0.774848,0.206897
47.8,0.776876,0.203854
48,0.787018,0.237323
48.2,0.783469,0.223631
48.4,0.780933,0.21146
48.6,0.782961,0.207404
48.8,0.787018,0.195233
49,0.78854,0.194219
49.2,0.791075,0.192698
49.4,0.792596,0.183063
49.6,0.791075,0.174442
49.8,0.801217,0.190669
50,0.802738,0.182556
50.2,0.806795,0.179513
50.4,0.803245,0.174949
50.6,0.80426,0.169878
50.8,0.804767,0.161258
51,0.802231,0.15213
51.2,0.803245,0.144523
51.4,0.818966,0.1714
51.6,0.824037,0.156694
51.8,0.823022,0.150609
52,0.820487,0.139452
52.2,0.817951,0.133367
52.4,0.816937,0.125254
52.6,0.819473,0.125254
52.8,0.819473,0.123732
53,0.808824,0.110041
53.2,0.811359,0.102941
53.4,0.809838,0.105477
53.6,0.807302,0.108012
53.8,0.804767,0.10497
54,0.80426,0.100913
54.2,0.817444,0.0998986
54.4,0.835193,0.0983773
54.6,0.842292,0.100406
54.8,0.86714,0.126268
55,0.888438,0.128803
55.2,0.888945,0.126268
55.4,0.894016,0.122211
55.6,0.892495,0.125254
55.8,0.894016,0.124746
56,0.894016,0.119675
56.2,0.895538,0.120183
56.4,0.90213,0.139452
56.6,0.90213,0.125761
56.8,0.900101,0.126268
57,0.897566,0.12069
57.2,0.900101,0.116126
57.4,0.901116,0.112576
57.6,0.900609,0.110548
57.8,0.900609,0.105984
58,0.903144,0.10142
58.2,0.902637,0.0907708
58.4,0.904158,0.0856998
58.6,0.901116,0.0806288
58.8,0.90213,0.0750507
59,0.903144,0.071501
59.2,0.904158,0.0608519
59.4,0.903651,0.0557809
59.6,0.901623,0.0527383
59.8,0.903651,0.0507099
60,0.90213,0.0481744
60.2,0.906694,0.0456389
60.4,0.901623,0.0542596
60.6,0.904665,0.0476673
60.8,0.903651,0.0451318
61,0.901623,0.0420892
61.2,0.899594,0.0365112
61.4,0.899594,0.0309331
61.6,0.900609,0.0268763
61.8,0.903144,0.0238337
62,0.907201,0.035497
62.2,0.905172,0.0329615
62.4,0.905172,0.0314402
62.6,0.904158,0.0314402
62.8,0.902637,0.0344828
63,0.900609,0.0324544
63.2,0.899594,0.030426
63.4,0.899594,0.0243408
63.6,0.900609,0.0228195
63.8,0.896552,0.0294118
64,0.899594,0.0258621
64.2,0.89858,0.025355
64.4,0.899087,0.0223124
64.6,0.899087,0.0233266
64.8,0.901116,0.0197769
65,0.90213,0.0258621
65.2,0.901116,0.0228195
65.4,0.899594,0.0278905
65.6,0.901623,0.0289047
65.8,0.905172,0.0243408
