Time,Queue Density,Dynamic Density
0,1,1
0.2,0.0729983,0.135777
0.4,0.086996,0.0688915
0.6,0.0997868,0.0784845
0.8,0.104427,0.081792
1,0.108189,0.0772305
1.2,0.110853,0.076196
1.4,0.114082,0.0832968
1.6,0.117155,0.0657251
1.8,0.123425,0.0693147
2,0.127469,0.0858988
2.2,0.130322,0.0873409
2.4,0.130541,0.08372
2.6,0.132924,0.0775754
2.8,0.134946,0.074895
3,0.137548,0.0903818
3.2,0.138598,0.085648
3.4,0.140432,0.0832027
3.6,0.143583,0.0713838
3.8,0.146937,0.0720108
4,0.14758,0.0811493
4.2,0.144915,0.0798169
4.4,0.14283,0.0722302
4.6,0.142235,0.0638128
4.8,0.143379,0.0685623
5,0.145213,0.0670732
5.2,0.149069,0.0656624
5.4,0.156859,0.06607
5.6,0.167832,0.0737194
5.8,0.18266,0.0944417
6,0.1989,0.117594
6.2,0.207991,0.133535
6.4,0.211048,0.157455
6.6,0.213462,0.159367
6.8,0.21401,0.160496
7,0.21343,0.158631
7.2,0.216644,0.151154
7.4,0.224951,0.14562
7.6,0.234544,0.155229
7.8,0.242304,0.157047
8,0.240752,0.159226
8.2,0.241222,0.157878
8.4,0.242931,0.159979
8.6,0.245015,0.160073
8.8,0.248025,0.160888
9,0.252806,0.163176
9.2,0.257916,0.164838
9.4,0.262383,0.16675
9.6,0.261991,0.16454
9.8,0.261145,0.166985
10,0.256897,0.162643
10.2,0.253511,0.15758
10.4,0.250564,0.152643
10.6,0.245282,0.14515
10.8,0.242774,0.135902
11,0.240877,0.1275
11.2,0.239357,0.12087
11.4,0.236582,0.117076
11.6,0.234811,0.111198
11.8,0.235015,0.106417
12,0.234513,0.103439
12.2,0.234012,0.101198
12.4,0.233228,0.0972005
12.6,0.232162,0.0911813
12.8,0.231613,0.0849426
13,0.23362,0.0886106
13.2,0.234059,0.0841119
13.4,0.233823,0.0779829
13.6,0.234247,0.0742053
13.8,0.234215,0.0684682
14,0.234435,0.0621356
14.2,0.234419,0.0565082
14.4,0.233635,0.0506928
14.6,0.233526,0.0456141
14.8,0.23387,0.0480124
15,0.233432,0.04273
15.2,0.233902,0.0411154
15.4,0.233479,0.0375886
15.6,0.233698,0.0370399
15.8,0.234074,0.0357703
16,0.232193,0.030143
16.2,0.233212,0.030864
16.4,0.232758,0.0348611
16.6,0.233071,0.0315224
16.8,0.232507,0.0300176
17,0.232052,0.0276193
17.2,0.231817,0.0265847
17.4,0.231833,0.0262556
17.6,0.231566,0.0260831
17.8,0.231566,0.025127
18,0.23003,0.0263966
18.2,0.230312,0.0237319
18.4,0.231206,0.0230108
18.6,0.233259,0.0249232
18.8,0.236567,0.0291084
19,0.241128,0.0356605
19.2,0.241912,0.0394852
19.4,0.238024,0.03646
19.6,0.235407,0.0340774
19.8,0.232663,0.0337012
20,0.229309,0.0284344
20.2,0.226958,0.0248918
20.4,0.227428,0.0214277
20.6,0.229199,0.0233714
20.8,0.22945,0.0255188
21,0.231582,0.0281993
21.2,0.231817,0.0278387
21.4,0.232507,0.0326666
21.6,0.232428,0.0309581
21.8,0.232632,0.0308483
22,0.232428,0.0305662
22.2,0.232036,0.0294062
22.4,0.232146,0.0298138
22.6,0.231958,0.0293279
22.8,0.235391,0.032165
23,0.240234,0.0407392
23.2,0.242664,0.0431062
23.4,0.241269,0.0414289
23.6,0.240454,0.039736
23.8,0.240046,0.0391247
24,0.239764,0.038435
