Time,Queue Density,Dynamic Density
0,1,1
0.2,0.0709074,0.141359
0.4,0.0850433,0.0683995
0.6,0.0991792,0.0791154
0.8,0.101915,0.0832193
1,0.104195,0.0777474
1.2,0.108071,0.0759234
1.4,0.110807,0.0788874
1.6,0.114683,0.0654355
1.8,0.121067,0.0668035
2,0.126311,0.0873233
2.2,0.128363,0.0877793
2.4,0.127451,0.0788874
2.6,0.128819,0.0747834
2.8,0.129731,0.0761514
3,0.132695,0.0857273
3.2,0.134975,0.0782034
3.4,0.137027,0.0795714
3.6,0.139307,0.0688554
3.8,0.142727,0.0695394
4,0.144323,0.0743274
4.2,0.141359,0.0768354
4.4,0.137939,0.0681715
4.6,0.139079,0.0579115
4.8,0.139763,0.0690834
5,0.141131,0.0626995
5.2,0.142955,0.0649795
5.4,0.153215,0.0670315
5.6,0.161879,0.0745554
5.8,0.178523,0.0943912
6,0.196306,0.115823
6.2,0.206338,0.128591
6.4,0.20953,0.156863
6.6,0.21409,0.159827
6.8,0.212494,0.159143
7,0.209758,0.154355
7.2,0.21181,0.145919
7.4,0.223438,0.143411
7.6,0.233698,0.157547
7.8,0.240766,0.158231
8,0.237574,0.157319
8.2,0.238486,0.155495
8.4,0.242362,0.157775
8.6,0.241678,0.158231
8.8,0.24601,0.155951
9,0.248062,0.158459
9.2,0.255586,0.160739
9.4,0.258778,0.163019
9.6,0.260374,0.163247
9.8,0.259006,0.167579
10,0.253762,0.158687
10.2,0.254674,0.153443
10.4,0.251026,0.152075
10.6,0.244186,0.145235
10.8,0.238714,0.136799
11,0.237574,0.128363
11.2,0.238258,0.122663
11.4,0.237802,0.121979
11.6,0.232558,0.111947
11.8,0.235066,0.105107
12,0.232102,0.0978112
12.2,0.23461,0.0973552
12.4,0.229138,0.0946192
12.6,0.231646,0.0918833
12.8,0.231874,0.0880073
13,0.230962,0.0900593
13.2,0.231418,0.0848153
13.4,0.232102,0.0800274
13.6,0.233926,0.0756954
13.8,0.232102,0.0674875
14,0.232786,0.0590515
14.2,0.233014,0.0533516
14.4,0.230734,0.0483356
14.6,0.230962,0.0419517
14.8,0.232558,0.0458276
15,0.23233,0.0419517
15.2,0.232102,0.0394437
15.4,0.230962,0.0360237
15.6,0.230278,0.0360237
15.8,0.23119,0.0367077
16,0.231418,0.0337437
16.2,0.23233,0.0332877
16.4,0.227998,0.0328317
16.6,0.229138,0.0291838
16.8,0.22777,0.0287278
17,0.22777,0.0266758
17.2,0.22891,0.0253078
17.4,0.229822,0.0259918
17.6,0.229822,0.0275878
17.8,0.22777,0.0262198
18,0.226858,0.0294118
18.2,0.225034,0.0243958
18.4,0.228682,0.0230278
18.6,0.229138,0.0253078
18.8,0.232786,0.0303238
19,0.239398,0.0351117
19.2,0.241222,0.0398997
19.4,0.237574,0.0376197
19.6,0.232558,0.0357957
19.8,0.231874,0.0364797
20,0.22891,0.0319197
20.2,0.224806,0.0278158
