Time,Queue Density,Dynamic Density
0,1,1
0.2,0.0734492,0.135928
0.4,0.0871756,0.069412
0.6,0.100652,0.0786836
0.8,0.104577,0.0827208
1,0.108698,0.0774028
1.2,0.111176,0.0749248
1.4,0.11396,0.0816071
1.6,0.117301,0.0653191
1.8,0.123845,0.0686602
2,0.127659,0.0861176
2.2,0.130081,0.0869529
2.4,0.131111,0.0842521
2.6,0.132504,0.0762613
2.8,0.135761,0.0747578
3,0.13849,0.0905724
3.2,0.139353,0.0854215
3.4,0.140884,0.083222
3.6,0.14417,0.0716115
3.8,0.147678,0.0721406
4,0.148068,0.0803263
4.2,0.144309,0.0787671
4.4,0.142221,0.071361
4.6,0.14236,0.063036
4.8,0.143251,0.0680198
5,0.145395,0.0659873
5.2,0.148346,0.0643724
5.4,0.156866,0.0670732
5.6,0.168309,0.0742566
5.8,0.182815,0.0936073
6,0.198769,0.116522
6.2,0.207818,0.132337
6.4,0.211354,0.156615
6.6,0.213303,0.159567
6.8,0.213832,0.160569
7,0.212106,0.15798
7.2,0.21592,0.149014
7.4,0.224802,0.14481
7.6,0.23413,0.153775
7.8,0.242121,0.156031
8,0.241257,0.158926
8.2,0.241564,0.15837
8.4,0.242789,0.159038
8.6,0.244376,0.158731
8.8,0.247383,0.159539
9,0.252033,0.161878
9.2,0.258548,0.164077
9.4,0.261666,0.164718
9.6,0.261666,0.163326
9.8,0.261081,0.167836
10,0.255847,0.161349
10.2,0.253647,0.157144
10.4,0.250223,0.151632
10.6,0.245322,0.144031
10.8,0.242928,0.13629
11,0.240506,0.127464
11.2,0.239503,0.121394
11.4,0.237443,0.117691
11.6,0.234965,0.110564
11.8,0.234436,0.106443
12,0.234352,0.104215
12.2,0.234269,0.100763
12.4,0.233211,0.0947767
12.6,0.232264,0.0898764
12.8,0.231958,0.0839737
13,0.233879,0.0875097
13.2,0.234436,0.0828322
13.4,0.234547,0.0784887
13.6,0.234965,0.0745072
13.8,0.235216,0.0683261
14,0.235466,0.061616
14.2,0.23541,0.0561867
14.4,0.234269,0.0498385
14.6,0.234157,0.0458292
14.8,0.234325,0.0481123
15,0.234408,0.0431284
15.2,0.233879,0.0412351
15.4,0.233601,0.0382559
15.6,0.233851,0.0384508
15.8,0.235021,0.0369752
16,0.232598,0.0317964
16.2,0.233879,0.031518
16.4,0.233183,0.0335227
16.6,0.233489,0.0303486
16.8,0.232988,0.0299031
17,0.232543,0.0272302
17.2,0.232821,0.0264228
17.4,0.233461,0.0261165
17.6,0.233601,0.0260608
17.8,0.233434,0.0252534
18,0.231373,0.0274529
18.2,0.231011,0.025671
18.4,0.232125,0.0241675
18.6,0.234325,0.0259216
18.8,0.237666,0.0297082
19,0.242594,0.0357779
19.2,0.242928,0.0407339
19.4,0.238919,0.0373928
19.6,0.235522,0.0340517
19.8,0.23399,0.0346642
20,0.230065,0.0292627
20.2,0.227893,0.025671
20.4,0.22845,0.0224691
20.6,0.229647,0.0240004
20.8,0.230399,0.0263392
21,0.232459,0.0284274
21.2,0.232431,0.0290121
21.4,0.233155,0.0325482
21.6,0.232877,0.031156
21.8,0.233406,0.0304878
22,0.233406,0.0305713
22.2,0.232264,0.0289843
22.4,0.232487,0.0291235
22.6,0.233211,0.0289008
22.8,0.236747,0.0321584
23,0.240756,0.0403163
23.2,0.243067,0.0431006
23.4,0.241675,0.0416527
23.6,0.241062,0.0397038
23.8,0.240673,0.0387014
24,0.240701,0.0382559
24.2,0.240617,0.038423
24.4,0.240422,0.0387571
24.6,0.240478,0.037365
24.8,0.239865,0.0395645
25,0.239308,0.037894
25.2,0.238306,0.0378661
25.4,0.237972,0.0372536
25.6,0.241369,0.0420147
25.8,0.247104,0.048864
26,0.253146,0.0579686
26.2,0.256599,0.0663214
26.4,0.260051,0.0735605
26.6,0.261889,0.0753982
26.8,0.262724,0.0792961
27,0.26587,0.0834169
27.2,0.274502,0.0952779
27.4,0.286335,0.111232
27.6,0.301314,0.131919
27.8,0.316294,0.148736
28,0.330772,0.18095
28.2,0.346586,0.194175
28.4,0.3641,0.213693
28.6,0.382142,0.233239
28.8,0.397427,0.250445
29,0.413771,0.270492
29.2,0.425298,0.284497
29.4,0.434737,0.298196
29.6,0.442393,0.311421
29.8,0.453642,0.330326
30,0.462078,0.339208
30.2,0.471378,0.348341
30.4,0.477837,0.353631
30.6,0.482292,0.362234
30.8,0.485828,0.369863
31,0.488724,0.375515
31.2,0.488724,0.377269
31.4,0.495239,0.386235
31.6,0.495824,0.38462
31.8,0.495601,0.385316
32,0.496186,0.386123
32.2,0.496659,0.384313
32.4,0.498496,0.383562
32.6,0.497689,0.38075
32.8,0.497355,0.380193
33,0.49961,0.382782
33.2,0.498858,0.380053
33.4,0.508325,0.387348
33.6,0.52116,0.39584
33.8,0.537504,0.40127
34,0.549811,0.403358
34.2,0.552289,0.400407
34.4,0.556827,0.394727
34.6,0.563593,0.396341
34.8,0.577375,0.4023
35,0.585338,0.404889
35.2,0.588122,0.400518
35.4,0.589431,0.393696
35.6,0.589403,0.385483
35.8,0.590934,0.380582
36,0.593886,0.372341
36.2,0.594359,0.364406
36.4,0.595668,0.374847
36.6,0.594554,0.364601
36.8,0.591046,0.352907
37,0.588206,0.33996
37.2,0.586591,0.326373
37.4,0.585143,0.315514
37.6,0.585032,0.311143
37.8,0.583779,0.311672
38,0.584224,0.305658
38.2,0.589431,0.308358
38.4,0.594637,0.310864
38.6,0.600846,0.309778
38.8,0.607584,0.308525
39,0.614155,0.311978
39.2,0.620949,0.311588
39.4,0.629274,0.310196
39.6,0.639075,0.314512
39.8,0.662379,0.347004
40,0.676551,0.367886
40.2,0.684876,0.370559
40.4,0.692226,0.370002
40.6,0.707178,0.39417
40.8,0.715002,0.400936
41,0.7216,0.402968
