Time,Queue Density,Dynamic Density
0,1,1
0.2,0.0733409,0.135174
0.4,0.0872595,0.0694697
0.6,0.0999199,0.0791124
0.8,0.105058,0.082922
1,0.108384,0.0774848
1.2,0.111604,0.0755052
1.4,0.113847,0.08301
1.6,0.117375,0.0655986
1.8,0.123516,0.0696281
2,0.127388,0.0860541
2.2,0.129833,0.0871891
2.4,0.131074,0.0835379
2.6,0.132851,0.0772121
2.8,0.135218,0.0747046
3,0.137761,0.0901365
3.2,0.138218,0.0849984
3.4,0.140453,0.0829572
3.6,0.14391,0.0720212
3.8,0.146911,0.0727426
4,0.148591,0.0805377
4.2,0.144755,0.078347
4.4,0.142239,0.0716781
4.6,0.142072,0.0634254
4.8,0.143734,0.0681676
5,0.145336,0.0661265
5.2,0.148969,0.0646836
5.4,0.157178,0.0667951
5.6,0.168026,0.0744847
5.8,0.183071,0.0945003
6,0.19881,0.116856
6.2,0.208022,0.13257
6.4,0.211022,0.156017
6.6,0.214005,0.158436
6.8,0.214638,0.160873
7,0.213662,0.1598
7.2,0.216503,0.150491
7.4,0.225407,0.146013
7.6,0.234962,0.155401
7.8,0.242933,0.157108
8,0.240971,0.159237
8.2,0.241798,0.158788
8.4,0.243144,0.160829
8.6,0.244288,0.160319
8.8,0.24764,0.160715
9,0.252021,0.162853
9.2,0.258866,0.165554
9.4,0.26118,0.166196
9.6,0.262086,0.16434
9.8,0.260168,0.166319
10,0.256429,0.162131
10.2,0.254538,0.158242
10.4,0.251054,0.153351
10.6,0.245616,0.145749
10.8,0.243056,0.136247
11,0.239827,0.127062
11.2,0.239634,0.120771
11.4,0.237267,0.118458
11.6,0.23556,0.111014
11.8,0.235446,0.106967
12,0.234847,0.103914
12.2,0.234108,0.100897
12.4,0.233237,0.0961719
12.6,0.232014,0.0907875
12.8,0.231786,0.0848048
13,0.234056,0.0888607
13.2,0.234012,0.0827373
13.4,0.234267,0.0781183
13.6,0.234742,0.0737632
13.8,0.234548,0.0670591
14,0.23446,0.0611555
14.2,0.234698,0.0551816
14.4,0.234267,0.0500611
14.6,0.234188,0.0454509
14.8,0.233757,0.0479584
15,0.23329,0.043137
15.2,0.233669,0.0409639
15.4,0.23322,0.0379462
15.6,0.233422,0.037084
15.8,0.233704,0.0349284
16,0.231733,0.0297639
16.2,0.233229,0.0301863
16.4,0.232789,0.034119
16.6,0.233061,0.0299575
16.8,0.232296,0.0290513
17,0.231504,0.026843
17.2,0.231399,0.0256112
17.4,0.231636,0.025708
17.6,0.23168,0.0251713
17.8,0.231689,0.0244147
18,0.230193,0.0265175
18.2,0.229885,0.0237021
18.4,0.231029,0.0225671
18.6,0.232789,0.0244675
18.8,0.236853,0.028541
19,0.241613,0.0348756
19.2,0.241992,0.0390459
19.4,0.238464,0.0362217
19.6,0.235226,0.03316
19.8,0.232111,0.0332128
20,0.228944,0.0281451
20.2,0.226903,0.0245291
20.4,0.227343,0.0214058
20.6,0.228838,0.0233061
20.8,0.229604,0.0255409
21,0.231707,0.0280219
21.2,0.231689,0.0277052
21.4,0.232613,0.0326057
21.6,0.232393,0.031242
21.8,0.232534,0.0308373
22,0.232384,0.0308373
22.2,0.231231,0.0290953
22.4,0.231698,0.0294208
22.6,0.232278,0.0289105
22.8,0.235806,0.0316115
23,0.239977,0.0411575
23.2,0.242071,0.0432162
23.4,0.240839,0.0421253
23.6,0.24039,0.040744
23.8,0.240373,0.0394594
24,0.24039,0.0391163
24.2,0.240241,0.0397058
24.4,0.240241,0.0401721
24.6,0.240162,0.0389228
24.8,0.239255,0.0395122
25,0.239062,0.038958
25.2,0.237971,0.038826
25.4,0.237197,0.037735
25.6,0.240628,0.0421957
25.8,0.246338,0.0495245
26,0.252796,0.0584897
26.2,0.256244,0.066364
26.4,0.259843,0.0735169
26.6,0.261339,0.0759011
26.8,0.261752,0.0789805
27,0.265157,0.0838722
27.2,0.273753,0.0963303
27.4,0.28578,0.111542
27.6,0.300604,0.132007
27.8,0.316529,0.150615
28,0.329858,0.18234
28.2,0.344375,0.195107
28.4,0.36293,0.213477
28.6,0.380069,0.23278
28.8,0.396416,0.25049
29,0.413123,0.269318
29.2,0.424279,0.283677
29.4,0.433711,0.296997
29.6,0.441242,0.310115
29.8,0.452512,0.330597
30,0.461759,0.339017
30.2,0.470724,0.34756
30.4,0.476997,0.353305
30.6,0.482593,0.362015
30.8,0.484564,0.368429
31,0.486974,0.37413
31.2,0.487511,0.375555
31.4,0.493555,0.385277
31.6,0.493388,0.384142
31.8,0.493054,0.384441
32,0.494074,0.385673
32.2,0.494039,0.384169
32.4,0.496107,0.383509
32.6,0.495746,0.380685
32.8,0.495931,0.379893
33,0.498262,0.383456
33.2,0.497805,0.380605
33.4,0.507861,0.387987
33.6,0.522017,0.396706
33.8,0.537449,0.401958
