Time,Queue Density,Dynamic Density
0,1,1
0.2,0.0734254,0.135165
0.4,0.0872312,0.0692167
0.6,0.100092,0.0790724
0.8,0.104967,0.0828931
1,0.108318,0.077305
1.2,0.111465,0.0752712
1.4,0.11402,0.083238
1.6,0.117319,0.0656076
1.8,0.123507,0.0694127
2,0.127465,0.0860987
2.2,0.130228,0.0867962
2.4,0.130968,0.0834809
2.6,0.133088,0.0775636
2.8,0.134879,0.0751458
3,0.13801,0.0907541
3.2,0.138563,0.0853619
3.4,0.140428,0.0831792
3.6,0.143963,0.0721558
3.8,0.147117,0.0729043
4,0.148148,0.0812159
4.2,0.144954,0.0792487
4.4,0.142709,0.0721715
4.6,0.142564,0.0638089
4.8,0.14379,0.0685113
5,0.14546,0.0663286
5.2,0.149304,0.0653058
5.4,0.15729,0.0666421
5.6,0.168122,0.0744208
5.8,0.182943,0.0943986
6,0.198825,0.11728
6.2,0.208046,0.132904
6.4,0.211608,0.156679
6.6,0.213904,0.158925
6.8,0.214238,0.160484
7,0.213223,0.158776
7.2,0.216832,0.150315
7.4,0.226002,0.145954
7.6,0.235062,0.155041
7.8,0.243005,0.157275
8,0.241089,0.158768
8.2,0.241641,0.158427
8.4,0.243287,0.160727
8.6,0.244949,0.160739
8.8,0.247845,0.160034
9,0.252692,0.162945
9.2,0.258559,0.164948
9.4,0.2614,0.166143
9.6,0.26198,0.163968
9.8,0.260698,0.166401
10,0.256791,0.161938
10.2,0.253883,0.158211
10.4,0.25127,0.153046
10.6,0.246187,0.144754
10.8,0.243193,0.135502
11,0.240619,0.126607
11.2,0.239513,0.120713
11.4,0.237456,0.117797
11.6,0.235732,0.111308
11.8,0.235344,0.107127
12,0.234932,0.103968
12.2,0.234153,0.100951
12.4,0.233416,0.0963736
12.6,0.232546,0.0905582
12.8,0.232174,0.0846174
13,0.233992,0.0884146
13.2,0.234556,0.0829519
13.4,0.234392,0.0775793
13.6,0.234803,0.0737781
13.8,0.234631,0.0678138
14,0.234556,0.0614067
14.2,0.234862,0.0557833
14.4,0.234059,0.0507281
14.6,0.234027,0.0455828
14.8,0.233929,0.0471934
15,0.23353,0.0420873
15.2,0.233518,0.0401632
15.4,0.233216,0.0375259
15.6,0.233541,0.0367264
15.8,0.234019,0.0352843
16,0.231899,0.0299235
16.2,0.233083,0.0306602
16.4,0.232495,0.0345986
16.6,0.23284,0.030766
16.8,0.23215,0.0292142
17,0.231684,0.0268826
17.2,0.231778,0.0259068
17.4,0.232166,0.0256286
17.6,0.231989,0.0250603
17.8,0.232072,0.0245744
18,0.230536,0.0266827
18.2,0.230434,0.0237437
18.4,0.2315,0.0227757
18.6,0.233498,0.0245196
18.8,0.237378,0.0288027
19,0.241884,0.0350649
19.2,0.242711,0.0389954
