Time,Queue Density,Dynamic Density
0,1,1
0.2,0.072522,0.136564
0.4,0.0866693,0.0691302
0.6,0.0998349,0.0783237
0.8,0.104119,0.0829205
1,0.107556,0.0773419
1.2,0.110858,0.0757799
1.4,0.114027,0.0843933
1.6,0.116838,0.0664524
1.8,0.123176,0.0691748
2,0.126478,0.0851966
2.2,0.129468,0.086714
2.4,0.131209,0.0848842
2.6,0.132459,0.0776097
2.8,0.134422,0.0747981
3,0.13768,0.0906413
3.2,0.13826,0.0843486
3.4,0.140938,0.0817155
3.6,0.144107,0.0702013
3.8,0.146294,0.0706476
4,0.148123,0.0793948
4.2,0.144151,0.077208
4.4,0.142768,0.0704244
4.6,0.143036,0.0637747
4.8,0.142991,0.066631
5,0.145713,0.0644888
5.2,0.148614,0.0639532
5.4,0.157094,0.065783
5.6,0.166823,0.0722988
5.8,0.180747,0.0926942
6,0.198152,0.116437
6.2,0.20748,0.131611
6.4,0.211809,0.154416
6.6,0.214263,0.157138
6.8,0.213683,0.159236
7,0.212389,0.158299
7.2,0.215647,0.149061
7.4,0.225376,0.143036
7.6,0.23515,0.153613
7.8,0.24171,0.154595
8,0.241532,0.158031
8.2,0.241398,0.155532
8.4,0.242558,0.159102
8.6,0.245682,0.159236
8.8,0.247423,0.15995
9,0.252644,0.162628
9.2,0.259874,0.164993
9.4,0.262106,0.166466
9.6,0.261392,0.162851
9.8,0.259874,0.165573
10,0.257732,0.161601
10.2,0.254385,0.157138
10.4,0.251439,0.152452
10.6,0.246218,0.146561
10.8,0.243094,0.136654
11,0.24055,0.126523
11.2,0.240327,0.121123
11.4,0.236622,0.119739
11.6,0.233989,0.110724
11.8,0.235194,0.107377
12,0.234034,0.104967
12.2,0.23457,0.101218
12.4,0.234213,0.0968001
12.6,0.232695,0.0914893
12.8,0.232204,0.0848842
13,0.233811,0.0883206
13.2,0.233588,0.0838131
13.4,0.23332,0.0785915
13.6,0.234793,0.0747981
13.8,0.234302,0.0683269
14,0.233989,0.0620342
14.2,0.234436,0.0568126
14.4,0.233811,0.0516356
14.6,0.234525,0.0470389
14.8,0.234391,0.0486901
15,0.233677,0.0437363
15.2,0.233454,0.0401214
15.4,0.233498,0.0380685
15.6,0.233543,0.0374883
15.8,0.233989,0.0349444
16,0.231981,0.0298567
16.2,0.233409,0.0300799
16.4,0.232829,0.0339626
16.6,0.233231,0.0302584
16.8,0.233588,0.0295443
17,0.232472,0.0279823
17.2,0.232249,0.0264649
17.4,0.232829,0.0260633
17.6,0.232874,0.0259294
17.8,0.232561,0.0251261
18,0.230374,0.0277592
18.2,0.229616,0.0257509
18.4,0.230955,0.0237872
18.6,0.233454,0.0258401
18.8,0.23814,0.0296336
19,0.242781,0.0360155
19.2,0.243674,0.0408355
19.4,0.240327,0.0377561
19.6,0.237247,0.0342304
19.8,0.233409,0.0345428
20,0.229839,0.0289195
20.2,0.227518,0.024769
20.4,0.227295,0.0217343
20.6,0.229482,0.0241442
20.8,0.230687,0.0266881
21,0.232427,0.0277592
21.2,0.231981,0.0276253
21.4,0.232606,0.0327576
21.6,0.232115,0.0313741
21.8,0.232695,0.0310171
22,0.232918,0.0311956
22.2,0.231803,0.0289642
22.4,0.231936,0.0288303
22.6,0.232293,0.0289642
22.8,0.234927,0.0313741
23,0.240461,0.0412817
23.2,0.242424,0.043781
23.4,0.241353,0.0427545
23.6,0.240505,0.0397644
23.8,0.240237,0.0391396
24,0.240282,0.0383362
24.2,0.24055,0.0392288
24.4,0.240639,0.0392734
24.6,0.240951,0.0393627
24.8,0.240505,0.038961
25,0.239702,0.0381131
