Time,Queue Density,Dynamic Density
45.6,0.772627,0.324276
45.8,0.772028,0.314985
46,0.775125,0.304995
46.2,0.772727,0.291209
46.4,0.777123,0.291209
46.6,0.775824,0.274326
46.8,0.776424,0.260539
47,0.774825,0.243257
47.2,0.778621,0.235365
47.4,0.77952,0.224276
47.6,0.78002,0.214186
47.8,0.781618,0.207792
48,0.788312,0.233167
48.2,0.788312,0.219281
48.4,0.78951,0.213586
48.6,0.78961,0.206693
48.8,0.789111,0.202697
49,0.786214,0.1996
49.2,0.788112,0.195504
49.4,0.788511,0.188611
49.6,0.788811,0.181918
49.8,0.795305,0.193906
50,0.796404,0.187213
50.2,0.797802,0.183716
50.4,0.798402,0.177822
50.6,0.797902,0.17043
50.8,0.7996,0.164136
51,0.801499,0.160739
51.2,0.801698,0.156943
51.4,0.816983,0.17962
51.6,0.817582,0.168531
51.8,0.818681,0.159141
52,0.816284,0.151748
52.2,0.815485,0.140759
52.4,0.815085,0.134665
52.6,0.815185,0.131668
52.8,0.814486,0.128072
53,0.808591,0.117682
53.2,0.808891,0.114086
53.4,0.807592,0.111788
53.6,0.803996,0.113686
53.8,0.804995,0.108591
54,0.805495,0.105295
54.2,0.813786,0.105195
54.4,0.825974,0.103197
54.6,0.84026,0.106194
54.8,0.872727,0.133367
55,0.884715,0.133666
55.2,0.890809,0.135365
55.4,0.893606,0.135065
55.6,0.894006,0.132867
55.8,0.893107,0.128472
56,0.892408,0.126773
56.2,0.892707,0.124675
56.4,0.903796,0.143856
56.6,0.903097,0.135964
56.8,0.903696,0.128571
57,0.902797,0.122577
57.2,0.901698,0.118382
57.4,0.900999,0.111289
57.6,0.900999,0.105694
57.8,0.901499,0.101698
58,0.904695,0.101798
58.2,0.904695,0.0939061
58.4,0.903996,0.089011
58.6,0.903197,0.0842158
58.8,0.903596,0.0876124
59,0.903996,0.0798202
59.2,0.903097,0.0734266
59.4,0.902697,0.0648352
59.6,0.901299,0.0604396
59.8,0.901199,0.0568432
60,0.901898,0.0517483
60.2,0.902098,0.0487512
60.4,0.903197,0.0485514
60.6,0.902697,0.0442557
60.8,0.902697,0.040959
61,0.903397,0.0407592
61.2,0.903796,0.0357642
61.4,0.904595,0.0318681
61.6,0.905395,0.0288711
61.8,0.904496,0.0278721
62,0.901199,0.0337662
62.2,0.903397,0.0304695
62.4,0.904496,0.0286713
62.6,0.903497,0.0297702
62.8,0.902498,0.0323676
63,0.902098,0.0317682
63.2,0.900699,0.0313686
63.4,0.900999,0.0310689
63.6,0.901698,0.0300699
63.8,0.901299,0.0322677
64,0.900799,0.0313686
64.2,0.901798,0.0288711
64.4,0.903097,0.0280719
64.6,0.901698,0.0264735
64.8,0.901898,0.0280719
65,0.902198,0.0284715
65.2,0.900699,0.0276723
65.4,0.900799,0.0308691
65.6,0.8995,0.0293706
65.8,0.8999,0.027972
66,0.900899,0.0258741
66.2,0.9002,0.0263736
66.4,0.9001,0.0251748
66.6,0.901099,0.024975
66.8,0.8998,0.0266733
67,0.9002,0.0333666
67.2,0.9004,0.0302697
67.4,0.9002,0.031968
67.6,0.8995,0.0307692
67.8,0.898202,0.0280719
68,0.899401,0.0260739
68.2,0.8995,0.0234765
68.4,0.9002,0.0241758
68.6,0.899401,0.0230769
68.8,0.899101,0.0223776
69,0.898002,0.0204795
69.2,0.898901,0.0215784
69.4,0.899101,0.020979
69.6,0.898901,0.0206793
69.8,0.899201,0.0207792
70,0.896903,0.0187812
70.2,0.897502,0.0186813
70.4,0.898501,0.0177822
70.6,0.8996,0.0170829
70.8,0.896304,0.0213786
71,0.897502,0.0177822
71.2,0.897403,0.0158841
71.4,0.895504,0.0148851
71.6,0.896803,0.0136863
71.8,0.896603,0.0125874
72,0.897103,0.0122877
72.2,0.896503,0.0131868
72.4,0.898002,0.0188811
72.6,0.898002,0.016983
72.8,0.898102,0.0176823
73,0.899101,0.0181818
73.2,0.898002,0.0167832
73.4,0.898102,0.0171828
73.6,0.896404,0.0176823
73.8,0.896104,0.0175824
