Time,Queue Density
0,1
0.0666667,0.0725108
0.133333,0.0681818
0.2,0.0703463
0.266667,0.0746753
0.333333,0.0806277
0.4,0.0844156
0.466667,0.0914502
0.533333,0.0974026
0.6,0.0963203
0.666667,0.100649
0.733333,0.103355
0.8,0.103355
0.866667,0.107143
0.933333,0.109848
1,0.107684
1.06667,0.107143
1.13333,0.112013
1.2,0.108766
1.26667,0.11039
1.33333,0.110931
1.4,0.111472
1.46667,0.113095
1.53333,0.110931
1.6,0.114177
1.66667,0.113095
1.73333,0.121212
1.8,0.119589
1.86667,0.122835
1.93333,0.126623
2,0.123918
2.06667,0.128788
2.13333,0.126082
2.2,0.124459
2.26667,0.130952
2.33333,0.128247
2.4,0.128788
2.46667,0.125541
2.53333,0.128788
2.6,0.128788
2.66667,0.133658
2.73333,0.134199
2.8,0.13474
2.86667,0.132576
2.93333,0.132576
3,0.133117
3.06667,0.135281
3.13333,0.135823
3.2,0.135281
3.26667,0.134199
3.33333,0.133117
3.4,0.137446
3.46667,0.139069
3.53333,0.139069
3.6,0.142857
3.66667,0.142316
3.73333,0.142316
3.8,0.145022
3.86667,0.144481
3.93333,0.142857
4,0.145022
4.06667,0.146645
4.13333,0.144481
4.2,0.143939
4.26667,0.138528
4.33333,0.142316
4.4,0.141775
4.46667,0.141234
4.53333,0.13961
4.6,0.139069
4.66667,0.13474
4.73333,0.136905
4.8,0.139069
4.86667,0.141775
4.93333,0.143398
5,0.143939
5.06667,0.145022
5.13333,0.145563
5.2,0.147727
5.26667,0.145022
5.33333,0.151515
5.4,0.153139
5.46667,0.157468
5.53333,0.162879
5.6,0.161797
5.66667,0.167749
5.73333,0.178571
5.8,0.1829
5.86667,0.192641
5.93333,0.195887
6,0.194264
6.06667,0.199134
6.13333,0.205087
6.2,0.203463
6.26667,0.202381
6.33333,0.206169
6.4,0.208874
6.46667,0.208874
6.53333,0.20671
6.6,0.206169
6.66667,0.205628
6.73333,0.212121
6.8,0.208874
6.86667,0.209957
6.93333,0.213745
7,0.212662
7.06667,0.204004
7.13333,0.20671
7.2,0.208333
7.26667,0.208333
7.33333,0.219697
7.4,0.21158
7.46667,0.218074
7.53333,0.215909
7.6,0.224026
7.66667,0.225108
7.73333,0.232684
7.8,0.234307
7.86667,0.235931
7.93333,0.234848
8,0.237554
8.06667,0.233225
8.13333,0.233766
8.2,0.236472
8.26667,0.240801
8.33333,0.239177
8.4,0.242424
8.46667,0.240801
8.53333,0.240801
8.6,0.242424
8.66667,0.241883
8.73333,0.239719
8.8,0.243506
8.86667,0.248918
8.93333,0.244048
9,0.24513
9.06667,0.250541
9.13333,0.250541
9.2,0.251623
9.26667,0.256494
9.33333,0.252165
9.4,0.25487
9.46667,0.257035
9.53333,0.249459
9.6,0.252706
9.66667,0.259199
9.73333,0.253247
9.8,0.256494
9.86667,0.25487
9.93333,0.251623
10,0.254329
10.0667,0.247294
10.1333,0.25
10.2,0.248918
10.2667,0.25
10.3333,0.248918
10.4,0.246212
10.4667,0.244589
10.5333,0.242424
10.6,0.235931
10.6667,0.234848
10.7333,0.239177
10.8,0.239177
10.8667,0.238636
10.9333,0.235931
11,0.23539
11.0667,0.239177
11.1333,0.237554
11.2,0.237013
11.2667,0.238095
11.3333,0.234848
11.4,0.234848
11.4667,0.229437
11.5333,0.229978
11.6,0.231061
11.6667,0.230519
11.7333,0.228355
11.8,0.230519
11.8667,0.229978
